pca1,pca2,pca3,pca4,pca5,pca6,pca7
-39532.06496,-37.30082949,-18.6472867,-11.81974854,-35.39963194,0.088709102,0.117220388
-11311.0475,-47.70694119,-13.77020756,10.19537072,-0.644033296,-0.460614982,0.026741823
-4991.041507,-47.06219729,-36.12922968,36.71356309,-5.181796329,-0.706179209,0.038616114
1606.939719,-52.69743492,-45.05303942,10.76708411,-1.079958955,-0.150176338,0.017380407
1072.511844,1149.716756,6.11558452,-82.75249838,43.70314021,2.37744669,-0.086091346
14363.52654,1146.204275,0.570915494,-61.03425929,10.66902472,2.898397166,-0.052195735
52853.93174,-91.89646967,-28.19863195,-20.76321507,4.120704247,1.321203803,29.97553225
-34550.0956,-43.99914514,-28.89204359,-54.43840472,-15.42161597,0.614429968,0.071272544
-25494.98341,-22.16989036,-19.54375755,134.6408947,82.36799837,-4.724506185,-0.029522327
-8532.982745,-29.14188491,-27.81839526,138.9967387,91.60632007,-4.636438648,-0.0660795
1457.993442,-37.7842988,-33.67856016,100.5411321,92.68128031,-3.72106976,-0.09060228
3385.988249,-39.78916012,-34.71818466,90.28339508,79.13709385,-3.218711176,-0.079844936
-44329.10036,-51.85315619,-24.31055712,-55.04683157,-29.16428464,0.678172709,0.107441724
-43146.05886,-46.53977364,-8.389891234,1.35491829,-35.17421444,-0.272019067,0.122689113
-43145.07607,-49.99421689,-4.374447457,-29.06992317,-17.02865188,-0.064527326,0.086328875
-43083.01374,-54.07536602,133.1603138,-34.42140308,8.263808093,-0.702240369,0.001118718
-35043.10461,-55.95318602,-29.32618368,-55.76968459,10.34560001,0.101683778,0.034836333
-35122.61834,-82.28323795,970.7447853,-64.06157002,-10.46242028,-1.061497705,-0.283165143
-39591.47133,1089.423492,6.972480318,25.31183048,-24.49945677,0.744278303,0.105818697
-39539.04792,-43.48118333,-24.80064931,39.18788293,16.24011398,-1.906206253,0.060659144
-38700.10495,-55.05417435,-27.25950731,-61.63891851,-26.12855776,0.860121961,0.092834381
-31362.10606,-57.78901893,-31.17475522,-57.72154902,10.62335503,0.209870324,0.028505727
-30369.01882,-47.38766062,14.3270835,50.64716158,-6.630231061,-1.552500984,0.070976022
-30276.10156,-57.93344134,-31.24975067,-54.21010635,-20.33618707,0.779820763,0.071901241
-34750.10158,-56.00693425,-29.09068404,-54.62222081,-19.20901635,0.671990472,0.076634835
-34747.08853,-53.18500036,-28.75419752,-29.44432009,6.067727578,-0.305605366,0.048095954
-34728.0997,-55.57897708,-29.06769766,-50.74335223,-13.76337658,0.491073642,0.070013521
-34704.08675,-52.88246679,-28.69572147,-26.52464048,5.593172934,-0.35056245,0.049523575
-34629.10594,-56.95734052,-29.28457162,-62.65823193,-24.99375934,0.941296207,0.082395945
-34604.11558,-58.11600293,-30.02707072,-73.65734521,13.24552073,0.391908809,0.024741544
-34598.09759,-54.87920597,-29.2293777,-44.23572704,8.467972081,-0.070122551,0.040104278
-34558.10167,-56.12187032,-29.17977619,-54.88255413,-20.18140522,0.700703592,0.08041945
-34547.1108,-57.28048701,-29.84217267,-65.84095765,11.97569873,0.270332638,0.028967286
-34545.10102,-55.94370616,-29.18996158,-53.27606893,-16.39192676,0.594936525,0.072695168
-34539.04063,-44.64929828,-26.72343842,48.91152049,-6.65792639,-1.532050097,0.088522141
-34534.09641,-54.69513889,-29.2081374,-42.30801013,8.154270112,-0.099054639,0.04105779
