pca1,pca2,pca3,pca4,pca5,pca6,pca7
-33767.72327,346.7179822,-407.9099434,-23.68049268,6.943661424,0.070655404,0.990095579
-34114.81904,331.1069791,-397.997266,-93.43341808,6.913778355,-0.218264542,1.030747247
-27127.35795,-912.081956,-241.1846933,78.68905744,20.98681886,2.007373043,-0.030355002
37003.78867,17.9831045,-486.441468,173.8954929,7.680394029,1.416182737,0.840911995
-9126.492514,-1742.695874,-350.0948251,-3.328565084,-8.022718013,-2.497517078,-0.524690549
-18123.34187,3562.994273,-196.1209744,5.466872538,-9.138535697,-0.39815185,-2.008887129
-31889.82642,-243.2974965,-4.375515066,-71.08793532,3.565263734,2.378354614,-0.50263639
-3872.046462,3313.395036,-360.7948519,-68.4079979,-17.82947795,-1.342172636,-1.52696654
-272.1325585,299.280126,-419.5929208,254.7282149,7.328238793,1.546962122,0.839786736
-13460.55515,160.9128222,-420.2850971,-27.67387027,6.979479662,0.221864321,0.998857402
-14150.29833,2655.389927,-65.71190111,70.04087489,-20.28891802,-0.752058672,-0.681820082
13786.4119,1643.637546,-197.9966132,4.717009894,-1.341735101,-2.47357993,0.649259586
-28805.82959,-4.943669743,-14.46263486,-99.30948315,-15.85939394,2.597072491,-0.331212254
-12371.05425,-1143.403216,231.5123805,-77.24128755,28.39633408,1.444518758,-0.282193995
-24481.9938,157.6828639,-403.2599481,165.6987045,6.620938301,1.20190239,0.857499388
-23657.51333,2829.224903,-316.8575705,-10.86383443,-19.2887878,-1.290112688,-0.713721669
-32636.06532,4684.196054,435.5557887,-31.11748058,20.8317524,-5.074893217,-3.07973749
-27185.15933,631.8240247,449.3639624,18.35107936,4.935120176,0.073524266,0.868721101
-24270.58737,-3474.263498,-190.0675423,39.1229804,16.75672808,-1.354565181,-0.899210782
37900.09014,-3645.076283,-212.603184,-62.74217014,4.626479551,-1.317430052,-1.332407523
2579.016924,183.568262,244.1767807,-78.36716676,1.266500702,1.507384662,0.418371865
33768.15767,1289.94963,510.2246178,-10.64529016,-1.873231271,0.180120092,0.218399886
-7853.907223,-560.9604196,-242.9444251,5.611260454,2.069209771,2.3040728,-0.056795254
-8027.602474,-3703.323247,14.86784921,-5.981998079,15.97278862,-1.921278278,-0.789698121
52855.78002,-1297.8056,190.6173093,-50.15367294,-16.64196365,2.308639407,0.375848182
7766.063207,-874.7462501,-303.3009334,-89.17684523,-23.03348073,2.131499061,0.714423776
-29060.58402,-649.442299,294.1029679,-78.57035875,-17.10768709,1.549243249,0.59656357
56195.08612,99.39057493,-511.9691057,29.81680899,8.337739845,0.84405778,0.844626166
-13100.59018,296.7191451,261.4324457,-29.48836172,1.134997153,1.575620271,0.48803614
8041.121671,-955.9254097,247.8731285,-67.99595841,-16.91752971,1.928919448,0.535405868
34048.07863,5169.778597,516.5119989,-30.42687737,5.868362365,-1.233797145,2.364725189
-14166.07853,2720.548673,-328.1786216,-24.37351377,-19.29398881,-1.109121548,-0.784167623
39469.47305,-443.2332796,-350.0560754,-88.70321243,-22.46658337,2.098469649,0.903332786
-29526.81543,-907.3607907,179.1957461,-39.11785197,6.709801011,1.582690085,0.227720048
-9844.550815,886.3270496,440.7720399,-52.25044575,5.814400573,-0.555795508,1.187544244
-27244.97583,-149.9679659,-23.59304415,-20.86796009,-16.12615549,2.819934776,-0.168015248
7615.857848,8552.602294,256.2964065,-120.2879798,2.060358633,-1.676022813,5.895771348
18071.98385,-2737.296321,44.61419725,-17.68457438,-9.747106744,-4.963755238,0.507073967
43717.03681,6469.131549,736.9210422,-67.42208837,31.97817667,0.608801293,2.092147547
